MÓDULO;CAMPO;TITULO;DESCRICAO
NASCIMENTO;PN_004;Cógido da Serventia (CNS);Campo do banco de dados.  Cógido Nascional da Serventia onde ocorreu o registro, campo normalmente usado em reconhecimento de paternidade.
NASCIMENTO;PN_005;Acervo;Campo do banco de dados. Retorna o numero do acervo.
NASCIMENTO;PN_006;Inteiro Teor;Campo do banco de dados. Conteúdo da certidaão de Inteiro Teor..
NASCIMENTO;PN_101;Número da guia de recolhimento;Campo do banco de dados. Contém o número identificando a Guia que serviu para fazer os recolhimentos de tributos do dia.
NASCIMENTO;PN_104;Data de registro;Campo do banco de dados. Data na qual lavrou-se o nascimento no cartório.
NASCIMENTO;PN_105;Número do registro de NASCIMENTO;"Campo do banco de dados. Neste campo é armazenado o número do Termo onde encontra-se lavrado o registro de nascimento."""
NASCIMENTO;PN_106;Número do livro;Campo do banco de dados. Este campo contém o número do livro usado para a lavratura do registro de nascimento.
NASCIMENTO;PN_107;Número da página de registro;Campo do banco de dados. Este campo contém o número da página utilizada para lavrar o registro de nascimento.
NASCIMENTO;PN_108;Registro feito no prazo ?;Campo do banco de dados. Em código: S=sim, N=não, G=registro gratuito ou M=registro feito fora do prazo mas isento de multa.
NASCIMENTO;PN_109;Declarante(s) do NASCIMENTO;Campo do banco de dados. Identifica declarante: o pai
NASCIMENTO;PN_110;A rogo (A=da mulher/O=do homem/S=dos dois declarantes);Campo do banco de dados. Quem assina a rogo/procurador, em código: a rogo/procurador da declarante mulher, do declarante homem ou de ambos os declarantes.
NASCIMENTO;PN_111;Folha (localização);Campo do banco de dados. Localização do registro na folha: em branco, a ou b = frente. Letra v, c ou d representam verso.
NASCIMENTO;PN_112;Nome do livro (A=nascidos vivos/C AUX=natimortos);Campo do banco de dados. Só pode ser A (de nascidos vivos) ou C AUX, referente a óbitos fetais (natimortos).
NASCIMENTO;PN_113;Declaração de Nascido Vivo;Campo do banco de dados. Contém o número D.N.V. preenchida na maternidade onde ocorreu o parto.
NASCIMENTO;PN_114;Número do RG do registrado;Campo do banco de dados. Neste campo é armazenado o número do RG do registrado.
NASCIMENTO;PN_115;Órgão emissor do RG do registrado;Campo do banco de dados. Neste campo é armazenado o órgão emissor do RG do registrado.
NASCIMENTO;PN_116;Data de emissão do RG do registrado;Campo do banco de dados. Neste campo é armazenado a data de emissão do RG do registrado.
NASCIMENTO;PN_121;Nome do 1º declarante;Campo do banco de dados. Nome do declarante no caso de não ser o pai nem a mãe.
NASCIMENTO;PN_122;Documento apresentado pelo 1º declarante;Campo do banco de dados. Tipo e número do documento apresentado pela testemunha.
NASCIMENTO;PN_123;Endereço do 1º declarante;Campo do banco de dados. Tipo e nome do logradouro, número e cidade de residência do 1º declarante, caso este não seja um dos pais do registrado.
NASCIMENTO;PN_131;Nome do 2º declarante;Campo do banco de dados. Nome do declarante no caso de não ser o pai nem a mãe.
NASCIMENTO;PN_132;Documento apresentado pelo 2º declarante;Campo do banco de dados. Tipo e número do documento apresentado pela testemunha.
NASCIMENTO;PN_133;Endereço do 2º declarante;Campo do banco de dados. Tipo e nome do logradouro, número e cidade de residência do 2º declarante, caso este não seja um dos pais do registrado.
NASCIMENTO;PN_141;1ª (ou única) pessoa que assina a rogo/procurador de algum declarante;Campo do banco de dados. Contém o nome da primeira ou única pessoa que está assinando a rogo/procurador de algum dos declarantes.
NASCIMENTO;PN_142;Idade da 1ª pessoa que assina a rogo/procurador de algum declarante;Campo do banco de dados. Idade da primeira ou única pessoa que assina a rogo/procurador de algum declarante.
NASCIMENTO;PN_143;Estado civil da 1ª pessoa que assina a rogo/procurador de algum declarante;"Campo do banco de dados. Estado civil em código: 1=solteiro, 2=ca-"",""sado, 3=viúvo, 4=sep/judicialmente, 5=desquitado, 6=divorciado, etc."
NASCIMENTO;PN_144;Profissão da 1ª pessoa que assina a rogo/procurador de algum declarante;Campo do banco de dados.
NASCIMENTO;PN_145;Documento apresentado pela 1ª pessoa que assina a rogo/procurador;Campo do banco de dados. Deve conter tipo, número e órgão expedidor.
NASCIMENTO;PN_146;Endereço da 1ª pessoa que assina a rogo/procurador de algum declarante;Campo do banco de dados. Contém tipo e nome do logradouro, número, etc.
NASCIMENTO;PN_147;Observação para o rogo/procurador 1;Campo do banco de dados. Observação para o rogo/procurador 1.
NASCIMENTO;PN_151;Nome da 2ª pessoa que assina a rogo/procurador de algum declarante;Campo do banco de dados. Contém o nome da segunda pessoa que está assinando a rogo/procurador de algum dos declarantes.
NASCIMENTO;PN_152;Idade da 2ª pessoa que assina a rogo/procurador de algum declarante;Campo do banco de dados. Idade da segunda pessoa que assina a rogo/procurador de algum declarante.
NASCIMENTO;PN_153;Estado civil da 2ª pessoa que assina a rogo/procurador de algum declarante;"Campo do banco de dados. Estado civil em código: 1=solteiro, 2=ca-"",""sado, 3=viúvo, 4=sep/judicialmente, 5=desquitado, 6=divorciado, etc."
NASCIMENTO;PN_154;Profissão da 2ª pessoa que assina a rogo/procurador de algum declarante;Campo do banco de dados.
NASCIMENTO;PN_155;Documento apresentado pela 2ª pessoa que assina a rogo/procurador;Campo do banco de dados. Deve conter tipo, número e órgão expedidor.
NASCIMENTO;PN_156;Endereço da 2ª pessoa que assina a rogo/procurador de algum declarante;Campo do banco de dados. Contém tipo e nome do logradouro, número, etc.
NASCIMENTO;PN_157;Observação para o rogo/procurador 2;Campo do banco de dados. Observação para o rogo/procurador 2.
NASCIMENTO;PN_199;Nome Antigo do Registrado;Campo: Retorna o nome antigo do registrado caso seja um registro de transgênero.
NASCIMENTO;PN_200;Sexo Antigo do Registrado;Campo: Retorna o sexo antigo do registrado caso seja um registro de transgênero.
NASCIMENTO;PN_201;Nome do registrando;Campo do banco de dados. Nome da pessoa (geralmente criança) que teve seu registro de nascimento efetuado no cartório.
NASCIMENTO;PN_202;CPF Registrado;Campo do banco de dados. Contém o número de CPF do registrado.
NASCIMENTO;PN_203;Grupo sanguíneo;Campo do banco de dados. Retorna o grupo sanguíneo do registrado (Prov. 63/2017).
NASCIMENTO;PN_204;Sexo do registrando;Campo do banco de dados. Em código: M, F ou I referente a masculino, feminino e ignorado respectivamente.
NASCIMENTO;PN_205;Cor (em código: 1=branca/2=parda/3=preta/4=amarela/5=indígena/9=ignorada);Campo do banco de dados. Além de ser em código (veja título) não se utiliza devido restrições legais.
NASCIMENTO;PN_206;Nome do(a) irmão(ã) gêmeo(a);Campo do banco de dados. Deverá estar preenchido se o registrando for gêmeo. Caso de trigêmeos ou mais deve-se usar variáveis adicionais.
NASCIMENTO;PN_207;Data de NASCIMENTO;Campo do banco de dados. No formato DD-MM-AAAA
NASCIMENTO;PN_208;Hora de NASCIMENTO;Campo do banco de dados. No formado HH:MM
NASCIMENTO;PN_209;Cidade de NASCIMENTO;"Campo do banco de dados. Nome da cidade onde o registrando nasceu."""
NASCIMENTO;PN_210;Sigla do estado onde se localiza a cidade de NASCIMENTO;"Campo do banco de dados. Sigla do estado (com 2 letras) correspondente ao lugar de nascimento do registrando."""
NASCIMENTO;PN_211;Gênero;"Retorna ""cisgênero"", ""transgênero"" ou ""não binário""."
NASCIMENTO;PN_212;Estabelecimento de nascimento (hospital ou residência);"Campo do banco de dados. Nome do hospital onde nasceu o registrando. Poderá estar gravado aqui ""em residência"", se for o caso."
NASCIMENTO;PN_213;Endereço do local de NASCIMENTO;"Campo do banco de dados. Endereço do hospital ou lugar de nascimento do registrando."""
NASCIMENTO;PN_214;Código do local de nascimento(1=hospital/2=outro estab saúde/3=domicílio);Campo do banco de dados. Código do local de nascimento. Geralmente só usado para estatísticas - não usado nos documentos emitidos.
NASCIMENTO;PN_216;Código gêmeos (1=não se trata de/2=gêmeos/3=trig/4=quad. ou mais+);Campo do banco de dados. Geralmente usado apenas em estatísticas.
NASCIMENTO;PN_217;Tipo de Declaração (IBGE);NASCIMENTO => 1) DNV, 2) Sentença Judicial, 3) Adoção, 4) Adoção com segundo registro, 5) RANI ou FUNAI, 6) Testemunhas Descreva a funcionalidade ou melhoria desejada de forma clara e precisa. NATIMORTO => 1) DO, 2) Sentença Judicial, 3) Testemunhas qualificadas, 4) Registro Administrativo da FUNAI, 5) Testemunhas
NASCIMENTO;PN_218;Naturalidade do registrado é a cidade de residência da mãe? (S/N);Campo do banco de dados. Indica se o registrado terá a naturalidade do município de residência da mãe (S), conforme art. 54, § 4º, da Lei de Registros Públicos, ou se terá a naturalidade do município de nascimento (N).
NASCIMENTO;PN_230;CEP residencial atualizado;Campo do banco de dados. Retorna o CEP residencial atualizado do registrado (Prov. 63/2017).
NASCIMENTO;PN_250;UF do primeiro médico;Campo do banco de dados. UF do CRM do médico.
NASCIMENTO;PN_251;Nome do primeiro médico (que atestou o óbito do natimorto);Campo do banco de dados. Usado somente se natimorto.
