MÓDULO;CAMPO;TITULO;DESCRICAO
OBITO;PO_003;Observações;Campo do banco de dados. Exemplo: deixou filhos, bens, etc.
OBITO;PO_005;Acervo;Campo do banco de dados. Retorna o numero do acervo.
OBITO;PO_006;Inteiro Teor;Campo do banco de dados. Conteúdo da certidaão de Inteiro Teor..
OBITO;PO_100;Nome do livro;Campo do banco de dados. Este campo contém o nome do livro usado para a lavratura do registro de óbito.
OBITO;PO_101;Data do registro;Campo do banco de dados. Data no qual foi lavrado o assento de óbito, formato DD-MM-AAAA.
OBITO;PO_102;Declaração de Óbito;Campo do banco de dados. Número da declaração fornecida pelo Serviço Funerário
OBITO;PO_103;Nº do registro do óbito;Campo do banco de dados. Número do termo no qual foi lavrado o assento de óbito.
OBITO;PO_104;Nº da folha;Campo do banco de dados. Número da folha na qual foi lavrado o assento de óbito.
OBITO;PO_105;Nº do livro;Campo do banco de dados. Número do livro (C) no qual encontra-se o assento de óbito.
OBITO;PO_106;Local do sepultamento;Campo do banco de dados. Nome do cemitério no qual vai ser ou encontra-se sepultado o falecido.
OBITO;PO_107;Código conforme o fato do falecido ser sepultado ou cremado;Campo do banco de dados.
OBITO;PO_108;Nome do 2º médico que atestou o óbito.;Campo do banco de dados.
OBITO;PO_109;Nº do CRM do 2º médico que atestou o óbito.;Campo do banco de dados.
OBITO;PO_110;UF do segundo médico;Campo do banco de dados. UF do CRM do segundo médico.
OBITO;PO_111;Nº do processo;Campo do banco de dados. Caiu em desuso. Utilizava-se para estatística apenas nos cartórios de SP..
OBITO;PO_112;Data da sentença judicial;Campo do banco de dados. Neste campo é armazenado a ata da sentença judicial.
OBITO;PO_121;Folha (localização);Campo do banco de dados. Indica se o assento foi feito na frente ou no verso da folha. Em código: espaço/a/b=frente, v/c/d=verso
OBITO;PO_122;Nº da Guia de recolhimento;Campo do banco de dados. Número da guia utilizada para o recolhimento dos tributos.
OBITO;PO_140;Motivo assinatura a rogo;Campo do banco de dados. Retorna analfabeto ou impossibilitado de assinar.
OBITO;PO_141;Nome do assinante a rogo;Campo do banco de dados
OBITO;PO_142;Idade do assinante a rogo;Campo do banco de dados.
OBITO;PO_143;Estado civil do assinante a rogo;Campo do banco de dados.
OBITO;PO_144;Profissão do assinante a rogo;Campo do banco de dados.
OBITO;PO_145;Documento do assinante a rogo;Campo do banco de dados.
OBITO;PO_146;Endereço do assinante a rogo;Campo do banco de dados.
OBITO;PO_147;Sexo do assinante a rogo;Campo do banco de dados.
OBITO;PO_148;Nacionalidade do assinante a rogo;Campo do banco de dados.
OBITO;PO_149;Observação para o rogo/procurador 1;Campo do banco de dados. Observação para o rogo/procurador 1.
OBITO;PO_160;Nome da 1ª testemunha;Campo do banco de dados.
OBITO;PO_161;Estado civil da 1ª testemunha;Campo do banco de dados.
OBITO;PO_162;Data de nascimento da 1ª testemunha;Campo do banco de dados.
OBITO;PO_163;Idade da 1ª testemunha;Campo do banco de dados.
OBITO;PO_164;CPF da 1ª testemunha;Campo do banco de dados.
OBITO;PO_165;Documento da 1ª testemunha;Campo do banco de dados.
OBITO;PO_166;Profissão da 1ª testemunha;Campo do banco de dados.
OBITO;PO_167;Nacionalidade da 1ª testemunha;Campo do banco de dados.
OBITO;PO_168;Endereço da 1ª testemunha;Campo do banco de dados.
OBITO;PO_170;Nome da 2ª testemunha;Campo do banco de dados.
OBITO;PO_171;Estado civil da 2ª testemunha;Campo do banco de dados.
OBITO;PO_172;Data de nascimento da 2ª testemunha;Campo do banco de dados.
OBITO;PO_173;Idade da 2ª testemunha;Campo do banco de dados.
OBITO;PO_174;CPF da 2ª testemunha;Campo do banco de dados.
OBITO;PO_175;Documento da 2ª testemunha;Campo do banco de dados.
OBITO;PO_176;Profissão da 2ª testemunha;Campo do banco de dados.
OBITO;PO_177;Nacionalidade da 2ª testemunha;Campo do banco de dados.
OBITO;PO_178;Endereço da 2ª testemunha;Campo do banco de dados.
OBITO;PO_180;Grau de relacionamento do declarante com o falecido;Campo do banco de dados.
OBITO;PO_181;Mandado/petição?;Campo do banco de dados. Retorna sim ou não.
OBITO;PO_190;Texto livre do mandado/petição;Campo do banco de dados.
OBITO;PO_194;Retorna o nome e a idade dos filhos;Retorna o nome e a idade dos filhos, caso existam.
OBITO;PO_201;Nome do declarante;Campo do banco de dados. Nome da pessoa que declarou o óbito para o Oficial do cartório.
OBITO;PO_203;Profissão do declarante;Campo do banco de dados.
OBITO;PO_204;Estado civil do declarante (em código);Campo do banco de dados. 1: solteiro, 2: casado, 3: viúvo, 4: separado judicialmente, 6: divorciado, 7: desquitado ou 9: ignorado
OBITO;PO_205;Documento apresentado pelo declarante;Campo do banco de dados. Número e tipo do documento apresentado pelo declarante.
OBITO;PO_206;Nacionalidade do declarante;"Campo do banco de dados. Geralmente ""brasileira""."
OBITO;PO_207;Endereço de residência do declarante;Campo do banco de dados. Tipo e nome do logradouro, número, etc.
OBITO;PO_208;Sexo do declarante;Campo do banco de dados. M=masculino ou F=feminino.
